from,to,weigth,corr_s
GATA3,ANXA2,51.36682641276766,red
GATA2,SEC61A1,52.79119767997933,red
GATA2,TP63,118.3407802319994,red
TBX3,TP63,52.5245726835643,red
GATA2,PCDH7,99.19447644922433,red
TP63,PCDH7,61.91253209927432,red
GATA3,PCDH7,58.86202599823864,red
GATA2,HNRNPDL,51.173278110496085,blue
NR6A1,MKRN1,77.54289957676713,blue
LHX5,MKRN1,63.5870083899,red
GATA2,CNDP1,54.98666556465593,red
ZIC3,GATA2,68.21256445995147,blue
TFAP2C,GATA2,75.99068430577775,red
TFAP2A,GATA2,63.592385255022585,red
ZIC1,GATA2,69.20227518453132,blue
GATA3,GATA2,131.22150711733215,red
ZEB2,GATA2,82.62363370458641,blue
GATA2,ACTN1,69.33230548823134,red
TP63,ACTN1,58.0562845096266,red
GATA3,ACTN1,50.37217089969643,red
SNAI2,MYC,97.35134770014848,red
SOX9,MYC,90.1563668977219,red
SOX8,MYC,57.732336649431815,red
SNAI2,HES1,74.9351473220127,red
SOX9,HES1,75.29448380920809,red
ZEB2,ZMIZ1,50.2714005629032,red
GATA2,TFAP2A,81.86399375995764,red
TFAP2C,TFAP2A,156.44701429421335,red
ZEB2,TFAP2A,80.54942963444128,blue
OTX1,SHISA2,78.97576414430509,red
NEUROG1,PHF21B,50.53729020418768,red
GATA2,ID2,116.24749808055704,red
GATA3,ID2,60.110780335228505,red
GATA2,GFPT1,134.69628445305176,red
ZEB2,GFPT1,54.36881439546542,blue
GATA2,TFAP2C,94.71417855484576,red
TFAP2A,TFAP2C,139.98062954242968,red
ZEB2,TFAP2C,77.72075781708486,blue
SALL2,TFAP2C,56.738714480387536,blue
SOX3,TFAP2C,60.26510513567048,blue
FOXA1,KRT15,52.32408382212523,red
GATA2,MKL1,56.43709884472716,red
FOXI1,BMP7,56.26367563877556,red
LHX5,BMP7,58.77220406676571,red
NR6A1,ZNF706,67.54249964456557,blue
SOX9,CFH,63.474540689512885,red
POU5F1,CFH,51.84439050067291,blue
GATA2,CALR,67.14712300393509,red
NEUROG1,CDKN1B,104.39838706296538,red
INSM1,CDKN1B,51.7653278335583,red
GATA2,GMNN,78.45713344795132,blue
ZIC3,GMNN,50.40739094318523,red
ZIC1,GMNN,74.06170040669363,red
SNAI2,CLDN6,59.241427512725664,blue
TP63,TAGLN2,54.47567275214397,red
NR6A1,TAGLN2,53.39274944894629,red
GATA2,FLNA,52.75946703191492,red
TP63,FLNA,136.84051284406505,red
GATA2,GATA3,164.12127800373767,red
CDX4,NGFR,264.1331578818944,red
SP5,NGFR,97.37902779143118,red
ZEB2,RGMA,62.73768676913127,red
TP63,NECTIN1,66.63389043928059,red
GATA2,TRIL,59.42350992117064,red
TP63,TRIL,62.21616119759615,red
GATA3,TRIL,75.03373608398472,red
GATA2,S100A10,74.13871624936998,red
TP63,S100A10,89.21549876932073,red
GATA3,S100A10,56.22110026158857,red
SOX17,CHP1,53.93859081762701,red
GATA2,HIC2,76.43431847829119,red
TFAP2C,HIC2,66.10890277585405,red
GATA2,PTBP1,92.29702527881564,red
GATA2,CRABP2,83.88358522270612,blue
OTX1,CRABP2,52.763897168981885,red
FOXA1,GJB1,90.6789351517446,red
TP63,S100A11,76.57593017426242,red
NEUROG1,INSM1,143.74677541330786,red
GATA2,KRT8,132.67157557454357,red
OTX1,LHX5,84.97945881169876,red
ZIC1,LHX5,57.44566079042019,red
PITX1,CLCA4,62.400780121659054,red
TP63,CLCA4,64.10438899405406,red
GATA2,TACSTD2,69.41515893248612,red
OTX2,OTX1,173.00271619840726,red
TCF7L1,OTX1,78.23051083153095,red
LHX5,OTX1,52.105378449197744,red
HESX1,OTX1,54.17943351683236,red
GATA2,UGDH,135.091944965991,red
GATA3,UGDH,62.82282559605132,red
NEUROG1,DBN1,80.65313590396518,red
LHX2,GLDC,52.44553810121614,red
CDX4,PYGB,56.72747406071844,red
LHX2,PCNA,53.23549544127509,red
TFAP2C,PCNA,52.04544149745137,blue
GATA2,MYH9,54.07596180688472,red
TP63,MYH9,79.98207899718328,red
GATA2,TLL2,158.5665806396697,red
TP63,TLL2,85.6775052441673,red
GATA3,TLL2,87.1546417637348,red
NEUROG1,NOTCH1,53.49580473367753,red
EBF3,NEUROG1,73.19620297143169,red
INSM1,NEUROG1,101.45294064256127,red
POU4F3,NEUROG1,61.84998992699271,red
ISL1,NEUROG1,72.44515369183021,red
GATA4,CNDP2,61.40599556593569,red
GATA2,SOX3,64.97064670362597,blue
TFAP2C,SOX3,99.4966858288042,blue
GATA2,CTBS,89.9004365196485,red
GATA3,CTBS,87.26407532832387,red
POU3F1,VIM,50.4143814014888,red
GATA2,ZIC1,124.60535380399068,blue
ZIC3,ZIC1,165.53160301877378,red
ZIC2,ZIC1,87.88466281726973,red
FOXI1,NR6A1,65.89185945167243,blue
GATA2,ZIC3,134.3134629072744,blue
ZIC1,ZIC3,132.67730361412737,red
OTX1,MEIS2,72.13220118879048,blue
NR6A1,CADM1,54.67295920865441,red
GATA2,KRT18,66.58039091245685,red
GATA2,OLFM4,179.61657758047747,red
TFAP2C,OLFM4,99.77470475368388,red
TP63,OLFM4,54.59530435744629,red
GATA3,OLFM4,70.0367870349816,red
ZEB2,OLFM4,84.23336643369058,blue
LHX2,RRM2,56.94355021784743,red
TFAP2C,RRM2,50.08056273170837,blue
GATA2,PMM1,81.08522377418551,red
TP63,PMM1,53.59903073168874,red
GATA2,ELAVL3,53.072434797658005,blue
NEUROG1,ELAVL3,150.22181374393926,red
ZEB2,ELAVL3,84.1281742328715,red
GATA2,CAPN8,75.95651243480945,red
GATA2,ROR2,64.63376832361226,blue
ZEB2,ROR2,55.78891447779597,red
SOX9,C9,59.06067872968579,red
SOX8,C9,54.55468138639491,red
PAX8,C9,83.83899010297472,red
SNAI2,SOX9,185.53220731285657,red
SOX8,SOX9,81.52499055212049,red
