from,to,weight,correlation,corr_s
SP5,NGFR,97.37902779143118,red,positive
ZEB2,RGMA,62.73768676913127,red,positive
TP63,NECTIN1,66.63389043928059,red,positive
GATA2,TRIL,59.42350992117064,red,positive
TP63,TRIL,62.21616119759615,red,positive
GATA3,TRIL,75.03373608398472,red,positive
GATA2,S100A10,74.13871624936998,red,positive
TP63,S100A10,89.21549876932073,red,positive
GATA3,S100A10,56.22110026158857,red,positive
SOX17,CHP1,53.93859081762701,red,positive
GATA2,HIC2,76.43431847829119,red,positive
TFAP2C,HIC2,66.10890277585405,red,positive
GATA2,PTBP1,92.29702527881564,red,positive
GATA2,CRABP2,83.88358522270612,blue,negative
OTX1,CRABP2,52.763897168981885,red,positive
FOXA1,GJB1,90.6789351517446,red,positive
TP63,S100A11,76.57593017426242,red,positive
NEUROG1,INSM1,143.74677541330786,red,positive
GATA2,KRT8,132.67157557454357,red,positive
OTX1,LHX5,84.97945881169876,red,positive
ZIC1,LHX5,57.44566079042019,red,positive
PITX1,CLCA4,62.400780121659054,red,positive
TP63,CLCA4,64.10438899405406,red,positive
GATA2,TACSTD2,69.41515893248612,red,positive
OTX2,OTX1,173.00271619840726,red,positive
TCF7L1,OTX1,78.23051083153095,red,positive
LHX5,OTX1,52.105378449197744,red,positive
HESX1,OTX1,54.17943351683236,red,positive
GATA2,UGDH,135.091944965991,red,positive
GATA3,UGDH,62.82282559605132,red,positive
NEUROG1,DBN1,80.65313590396518,red,positive
LHX2,GLDC,52.44553810121614,red,positive
CDX4,PYGB,56.72747406071844,red,positive
LHX2,PCNA,53.23549544127509,red,positive
TFAP2C,PCNA,52.04544149745137,blue,negative
GATA2,MYH9,54.07596180688472,red,positive
TP63,MYH9,79.98207899718328,red,positive
GATA2,TLL2,158.5665806396697,red,positive
TP63,TLL2,85.6775052441673,red,positive
GATA3,TLL2,87.1546417637348,red,positive
NEUROG1,NOTCH1,53.49580473367753,red,positive
EBF3,NEUROG1,73.19620297143169,red,positive
INSM1,NEUROG1,101.45294064256127,red,positive
POU4F3,NEUROG1,61.84998992699271,red,positive
ISL1,NEUROG1,72.44515369183021,red,positive
GATA4,CNDP2,61.40599556593569,red,positive
GATA2,SOX3,64.97064670362597,blue,negative
